"id","num1","num2","num3","num4","num5","num6"
1,2,7,8,2,3,9
2,1,5,4,4,5,7
3,0,5,9,3,6,9
4,2,2,1,0,9,7
5,1,9,0,7,7,9
6,2,0,6,4,6,0
7,4,8,2,5,9,5
8,5,4,8,6,8,2
9,2,1,3,2,4,0
10,0,6,4,2,6,3
11,4,8,5,5,3,0
12,6,1,1,0,0,4
13,8,8,0,0,8,9
14,4,5,1,0,0,9
15,1,4,6,2,8,2
16,6,5,7,9,8,5
17,0,3,1,7,0,8
18,8,8,1,9,8,0
19,4,1,1,9,3,6
20,5,5,5,6,8,7
21,5,5,2,3,1,7
22,3,6,2,1,0,4
23,7,2,6,9,9,0
24,9,6,7,9,3,9
25,3,8,6,7,5,0
26,5,6,1,7,1,4
27,9,6,7,1,4,2
28,3,7,8,8,5,6
29,1,2,6,0,7,8
30,1,5,7,1,9,0
31,9,9,7,8,6,3
32,3,4,9,0,4,3
33,6,4,1,6,8,7
34,8,3,2,2,2,6
35,1,1,6,4,2,3
36,2,5,2,6,6,3
37,4,6,6,5,6,6
38,1,6,2,4,8,0
39,3,2,0,7,1,8
40,5,8,5,8,0,2
41,6,9,8,3,3,5
42,8,9,2,2,4,3
43,8,9,0,5,4,6
44,7,9,9,1,8,1
45,4,9,4,2,2,1
46,7,1,0,8,1,7
47,5,2,4,4,9,5
48,7,8,8,6,4,2
49,1,9,1,2,3,5
50,1,7,6,5,7,0
51,0,8,8,1,8,5
52,2,9,7,6,2,5
53,5,8,0,3,5,7
54,9,3,2,5,3,5
55,4,9,5,7,1,9
56,6,7,7,7,9,9
57,2,3,0,2,9,5
58,5,5,1,9,2,4
59,9,7,3,5,2,1
60,0,2,9,1,6,3
61,6,0,2,6,1,0
62,5,7,2,8,7,9
63,7,9,1,1,8,1
64,8,5,5,5,2,4
65,0,2,0,3,2,1
66,3,6,4,9,1,4
67,1,3,7,5,6,0
68,2,1,8,7,7,6
69,0,3,3,3,8,5
70,9,4,6,3,7,7
71,8,8,1,9,3,8
72,0,4,7,9,1,3
73,2,2,2,2,4,7
74,8,3,2,6,5,9
75,7,6,6,1,0,3
76,9,4,9,3,2,5
77,2,9,4,6,9,3
78,9,1,7,9,9,8
79,0,6,7,0,8,4
80,9,8,3,2,7,4
81,6,0,0,1,3,9
82,7,6,8,1,0,2
83,8,0,6,7,9,4
84,7,7,5,9,8,6
85,1,6,7,7,5,0
86,0,9,4,5,0,4
87,5,1,1,9,5,5
88,5,6,5,1,1,0
89,1,0,6,0,5,0
90,4,0,8,0,3,2
91,5,5,4,7,1,0
92,8,7,8,0,6,8
93,8,3,1,8,9,4
94,4,8,1,2,1,6
95,9,9,7,3,0,9
96,1,0,1,2,4,8
97,3,9,7,7,1,2
98,9,8,1,6,1,7
99,6,6,0,2,7,6
100,4,8,4,1,3,6
101,6,5,6,2,6,7
102,8,4,4,6,4,3
103,7,6,3,4,4,3
104,7,3,9,5,4,5
105,0,5,1,6,3,0
106,9,7,9,9,6,6
107,8,9,6,6,5,9
108,7,1,4,7,5,8
109,6,7,3,8,7,6
110,3,6,4,7,1,4
111,5,4,3,8,2,5
112,2,7,9,1,4,2
113,4,5,8,6,9,3
114,0,0,2,9,0,5
115,7,3,8,6,8,7
116,2,1,5,0,5,1
117,3,4,9,9,0,0
118,3,7,8,1,1,2
119,4,8,4,2,6,6
120,2,6,5,4,2,7
121,9,3,9,5,0,4
122,0,9,7,5,3,0
123,8,9,4,9,5,3
124,4,3,4,4,6,2
125,0,1,0,8,1,2
126,6,1,0,8,4,6
127,6,0,0,7,2,6
128,6,7,6,3,5,3
129,1,6,0,8,4,5
130,9,8,2,0,0,3
131,0,5,4,6,0,0
132,9,8,0,3,1,2
133,4,6,4,6,9,3
134,9,0,4,3,9,4
135,4,8,0,1,9,0
136,4,3,0,8,2,7
137,6,0,9,7,9,5
138,2,6,9,2,5,4
139,0,5,6,9,6,0
